Date(UTC);Pair;Side;Price;Executed;Amount;Fee
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6600000000;0.0074470000BTC;300.02965102USDT;0.0007175400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002490000BTC;10.03186638USDT;0.0000240700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0003030000BTC;12.20745186USDT;0.0000288900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,292.8100000000;0.1244040000BTC;5,012.58673524USDT;0.0119815000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0008410000BTC;33.88272942USDT;0.0000809000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0014350000BTC;57.81416970USDT;0.0001386900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0014340000BTC;57.77386674USDT;0.0001377200BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0011880000BTC;47.86286868USDT;0.0001146000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0008260000BTC;33.27840012USDT;0.0000799300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002910000BTC;11.72398842USDT;0.0000279300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0004150000BTC;16.71977315USDT;0.0000404400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0019140000BTC;77.11239954USDT;0.0001839600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0017020000BTC;68.57123124USDT;0.0001637300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0003000000BTC;12.08658300USDT;0.0000288900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0003690000BTC;14.86650078USDT;0.0000356300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0007010000BTC;28.24231561USDT;0.0000674100BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0009300000BTC;37.46840730USDT;0.0000895600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0005100000BTC;20.54719110USDT;0.0000491100BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0023050000BTC;92.86524605USDT;0.0002224800BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002730000BTC;10.99879326USDT;0.0000260000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002550000BTC;10.27359810USDT;0.0000250300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0020390000BTC;82.14849618USDT;0.0001964700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0023210000BTC;93.50988702USDT;0.0002234400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002820000BTC;11.36139084USDT;0.0000269600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0005100000BTC;20.54719620USDT;0.0000491100BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0020050000BTC;80.77866305USDT;0.0001935900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0003500000BTC;14.10101700USDT;0.0000337000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0004510000BTC;18.17016311USDT;0.0000433300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0007110000BTC;28.64520882USDT;0.0000683700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6600000000;0.0024830000BTC;100.03674278USDT;0.0002388500BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0008580000BTC;34.56763596USDT;0.0000828300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0011780000BTC;47.45998258USDT;0.0001136400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0020520000BTC;82.67224824USDT;0.0001974300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0007420000BTC;29.89415604USDT;0.0000712700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0022060000BTC;88.87669572USDT;0.0002128500BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0005540000BTC;22.31989548USDT;0.0000529700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0025830000BTC;104.06550546USDT;0.0002484900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0002680000BTC;10.79734748USDT;0.0000260000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0003450000BTC;13.89957390USDT;0.0000337000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002790000BTC;11.24052498USDT;0.0000269600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0114300000BTC;460.49881230USDT;0.0011008700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0002810000BTC;11.32110222USDT;0.0000269600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0005600000BTC;22.56162720USDT;0.0000539300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0084490000BTC;340.39855038USDT;0.0008138500BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0006300000BTC;25.38183060USDT;0.0000606700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0130500000BTC;525.76636050USDT;0.0012569000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0008420000BTC;33.92301804USDT;0.0000809000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0006720000BTC;27.07394592USDT;0.0000645300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0013530000BTC;54.51048933USDT;0.0001300200BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0008400000BTC;33.84243240USDT;0.0000809000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0002520000BTC;10.15272972USDT;0.0000240700BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0009930000BTC;40.00658973USDT;0.0000953400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0006870000BTC;27.67828194USDT;0.0000664500BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0034630000BTC;139.51949106USDT;0.0003332400BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0016230000BTC;65.38843026USDT;0.0001560200BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0052090000BTC;209.86336949USDT;0.0005017900BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0029110000BTC;117.28017282USDT;0.0002802600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0016200000BTC;65.26754820USDT;0.0001560200BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0004580000BTC;18.45218796USDT;0.0000443000BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0024320000BTC;97.98189952USDT;0.0002340300BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6100000000;0.0004740000BTC;19.09680114USDT;0.0000452600BNB
2021-07-28 19:59:08;BTCUSDT;BUY;40,288.6200000000;0.0028870000BTC;116.31324594USDT;0.0002783400BNB
2021-07-28 17:55:09;BTCUSDT;SELL;39,012.9800000000;0.0176230000BTC;687.52574654USDT;0.0016648900BNB
2021-07-28 17:55:09;BTCUSDT;SELL;39,015.1900000000;0.0028110000BTC;109.67169909USDT;0.0002655700BNB
2021-07-28 13:02:09;BTCUSDT;SELL;39,780.2700000000;0.2142910000BTC;8,524.55383857USDT;0.0204374400BNB
2021-07-28 13:02:09;BTCUSDT;SELL;39,784.0900000000;0.0063860000BTC;254.06119874USDT;0.0006091000BNB
2021-07-28 13:02:09;BTCUSDT;SELL;39,784.0900000000;0.0186140000BTC;740.54105126USDT;0.0017754300BNB
2021-07-27 13:17:08;BTCUSDT;BUY;38,230.2500000000;0.0255620000BTC;977.24165050USDT;0.0023258800BNB
2021-07-27 13:16:08;BTCUSDT;BUY;38,247.9400000000;0.0504670000BTC;1,930.25878798USDT;0.0045926300BNB
2021-07-27 13:16:08;BTCUSDT;BUY;38,247.9400000000;0.1934370000BTC;7,398.56676978USDT;0.0176025200BNB
2021-07-26 20:06:07;BTCUSDT;SELL;38,655.4100000000;0.0270010000BTC;1,043.73472541USDT;0.0024992100BNB
2021-07-26 20:03:09;BTCUSDT;SELL;38,474.1300000000;0.2337080000BTC;8,991.71197404USDT;0.0214314700BNB
2021-07-26 20:03:09;BTCUSDT;SELL;38,479.7400000000;0.0010390000BTC;39.98044986USDT;0.0000952800BNB
2021-07-26 17:30:09;BTCUSDT;BUY;39,132.0200000000;0.0250610000BTC;980.68755322USDT;0.0023095300BNB
2021-07-26 16:02:08;BTCUSDT;BUY;38,514.5000000000;0.0819700000BTC;3,157.03356500USDT;0.0074509100BNB
2021-07-26 16:02:08;BTCUSDT;BUY;38,514.5000000000;0.1280240000BTC;4,930.78034800USDT;0.0116367600BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0070090000BTC;266.66581580USDT;0.0006322900BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0476030000BTC;1,811.11325860USDT;0.0042944000BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0352210000BTC;1,340.02521020USDT;0.0031773800BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0190400000BTC;724.39964800USDT;0.0017176500BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0966620000BTC;3,677.62178440USDT;0.0087201500BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0133450000BTC;507.72653900USDT;0.0012038800BNB
2021-07-26 13:17:08;BTCUSDT;SELL;38,046.2000000000;0.0103180000BTC;392.56069160USDT;0.0009308100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0004450000BTC;17.20071405USDT;0.0000408400BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003300000BTC;12.75558570USDT;0.0000299500BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003320000BTC;12.83289228USDT;0.0000299500BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0004390000BTC;16.96879431USDT;0.0000399300BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003670000BTC;14.18575743USDT;0.0000335800BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002680000BTC;10.35908172USDT;0.0000245000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002780000BTC;10.74561462USDT;0.0000254100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0005510000BTC;21.29796279USDT;0.0000499200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0007420000BTC;28.68074118USDT;0.0000671700BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003880000BTC;14.99747652USDT;0.0000354000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002700000BTC;10.43638830USDT;0.0000245000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003480000BTC;13.45134492USDT;0.0000317700BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002860000BTC;11.05484094USDT;0.0000263200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003160000BTC;12.21443964USDT;0.0000290400BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002980000BTC;11.51868042USDT;0.0000272300BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002840000BTC;10.97753436USDT;0.0000254100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002640000BTC;10.20446856USDT;0.0000235900BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003850000BTC;14.88151665USDT;0.0000354000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002800000BTC;10.82292120USDT;0.0000254100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0007410000BTC;28.64208789USDT;0.0000671700BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0006310000BTC;24.39022599USDT;0.0000571800BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0004130000BTC;15.96380877USDT;0.0000372100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.0000000000;0.0000270000BTC;1.04363100USDT;0.0000027200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002830000BTC;10.93888107USDT;0.0000254100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0005340000BTC;20.64085686USDT;0.0000481000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002670000BTC;10.32042843USDT;0.0000245000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003590000BTC;13.87653111USDT;0.0000326700BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003880000BTC;14.99747652USDT;0.0000354000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003450000BTC;13.33538505USDT;0.0000317700BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0005470000BTC;21.14334963USDT;0.0000499200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002690000BTC;10.39773501USDT;0.0000245000BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0005190000BTC;20.06105751USDT;0.0000471900BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003150000BTC;12.17578635USDT;0.0000290400BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003820000BTC;14.76555678USDT;0.0000344900BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002810000BTC;10.86157449USDT;0.0000254100BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002870000BTC;11.09349423USDT;0.0000263200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003160000BTC;12.21443964USDT;0.0000290400BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0005450000BTC;21.06604305USDT;0.0000499200BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003060000BTC;11.82790674USDT;0.0000281400BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0008210000BTC;31.73435109USDT;0.0000744300BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0002630000BTC;10.16581527USDT;0.0000235900BNB
2021-07-26 12:50:09;BTCUSDT;BUY;38,653.2900000000;0.0003280000BTC;12.67827912USDT;0.0000299500BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,754.5500000000;0.0200000000BTC;775.09100000USDT;0.0018162000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,750.1100000000;0.0051920000BTC;201.19057112USDT;0.0004713000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,755.0000000000;0.0200000000BTC;775.10000000USDT;0.0018162000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,752.9500000000;0.0674320000BTC;2,613.18892440USDT;0.0061233100BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,750.1100000000;0.0170000000BTC;658.75187000USDT;0.0015437700BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,752.9600000000;0.0100000000BTC;387.52960000USDT;0.0009081000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,755.0000000000;0.0200000000BTC;775.10000000USDT;0.0018162000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,750.1100000000;0.0008210000BTC;31.81384031USDT;0.0000744600BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,754.6300000000;0.0200000000BTC;775.09260000USDT;0.0018162000BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,755.0000000000;0.0171190000BTC;663.44684500USDT;0.0015546600BNB
2021-07-26 12:40:09;BTCUSDT;BUY;38,754.0000000000;0.0200000000BTC;775.08000000USDT;0.0018162000BNB
2021-07-26 07:45:08;BTCUSDT;SELL;38,098.2600000000;0.0191000000BTC;727.67676600USDT;0.0017276300BNB
2021-07-26 07:45:08;BTCUSDT;SELL;38,098.2600000000;0.0003250000BTC;12.38193450USDT;0.0000293900BNB
2021-07-26 07:45:08;BTCUSDT;SELL;38,098.2600000000;0.0150000000BTC;571.47390000USDT;0.0013567800BNB
2021-07-26 07:45:08;BTCUSDT;SELL;38,091.3500000000;0.1158470000BTC;4,412.76862345USDT;0.0104766900BNB
2021-07-26 07:45:08;BTCUSDT;SELL;38,098.2600000000;0.1050000000BTC;4,000.31730000USDT;0.0094974600BNB
2021-07-21 06:04:08;BTCUSDT;BUY;30,661.0000000000;0.0087140000BTC;267.17995400USDT;0.0007161900BNB
2021-07-21 06:04:08;BTCUSDT;BUY;30,658.5900000000;0.0110000000BTC;337.24449000USDT;0.0009045000BNB
2021-07-21 04:54:08;BTCUSDT;BUY;30,667.6400000000;0.0178670000BTC;547.93872388USDT;0.0014765300BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0182720000BTC;560.27817312USDT;0.0015085800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,665.4200000000;0.1224100000BTC;3,753.75406220USDT;0.0101076100BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0182720000BTC;560.27817312USDT;0.0015085800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0182720000BTC;560.27817312USDT;0.0015085800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0182720000BTC;560.27817312USDT;0.0015085800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0112920000BTC;346.24896732USDT;0.0009322300BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0182720000BTC;560.27817312USDT;0.0015085800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0067170000BTC;205.96478157USDT;0.0005548800BNB
2021-07-21 04:53:09;BTCUSDT;BUY;30,663.2100000000;0.0082010000BTC;251.46898521USDT;0.0006770800BNB
2021-07-19 12:40:08;BTCUSDT;SELL;30,814.3100000000;0.0278980000BTC;859.65762038USDT;0.0022679200BNB
2021-07-19 12:38:10;BTCUSDT;SELL;30,726.1800000000;0.0120250000BTC;369.48231450USDT;0.0009748800BNB
2021-07-19 12:38:10;BTCUSDT;SELL;30,726.1800000000;0.0632170000BTC;1,942.41692106USDT;0.0051251200BNB
2021-07-19 12:38:10;BTCUSDT;SELL;30,726.1800000000;0.1738000000BTC;5,340.21008400USDT;0.0140903000BNB
2021-07-18 02:37:09;BTCUSDT;BUY;32,153.7900000000;0.0181740000BTC;584.36297946USDT;0.0014238300BNB
2021-07-18 01:48:08;BTCUSDT;BUY;32,157.4200000000;0.0196660000BTC;632.40782172USDT;0.0015452400BNB
2021-07-16 16:10:09;BTCUSDT;BUY;32,039.4800000000;0.2391000000BTC;7,660.63966800USDT;0.0184871100BNB
2021-07-15 12:04:10;BTCUSDT;SELL;32,094.9600000000;0.0747610000BTC;2,399.45130456USDT;0.0057689000BNB
2021-07-15 12:04:10;BTCUSDT;SELL;32,094.5000000000;0.1886560000BTC;6,054.81999200USDT;0.0145573500BNB
2021-07-14 14:44:09;BTCUSDT;BUY;32,807.4600000000;0.0209960000BTC;688.82543016USDT;0.0016591100BNB
2021-07-14 14:28:08;BTCUSDT;BUY;32,757.2900000000;0.0085000000BTC;278.43696500USDT;0.0006718900BNB
2021-07-14 14:28:08;BTCUSDT;BUY;32,757.2900000000;0.0251140000BTC;822.66658106USDT;0.0019848700BNB
2021-07-14 14:28:08;BTCUSDT;BUY;32,757.0700000000;0.2088070000BTC;6,839.90551549USDT;0.0165058400BNB
2021-07-14 03:29:08;BTCUSDT;SELL;31,781.5300000000;0.0044450000BTC;141.26890085USDT;0.0003604200BNB
2021-07-14 03:29:08;BTCUSDT;SELL;31,781.5300000000;0.0085000000BTC;270.14300500USDT;0.0006892300BNB
2021-07-14 03:29:08;BTCUSDT;SELL;31,781.5300000000;0.0145500000BTC;462.42126150USDT;0.0011798000BNB
2021-07-13 13:02:09;BTCUSDT;SELL;32,394.9900000000;0.2473290000BTC;8,012.22048171USDT;0.0196139700BNB
2021-07-13 13:02:09;BTCUSDT;SELL;32,396.5900000000;0.0018660000BTC;60.45203694USDT;0.0001479800BNB
2021-07-11 22:17:07;BTCUSDT;BUY;34,378.3100000000;0.0164510000BTC;565.55757781USDT;0.0013072100BNB
2021-07-11 22:16:09;BTCUSDT;BUY;34,418.0100000000;0.0163840000BTC;563.90467584USDT;0.0013006800BNB
2021-07-11 21:54:08;BTCUSDT;BUY;34,492.5000000000;0.0926370000BTC;3,195.28172250USDT;0.0073422700BNB
2021-07-11 21:54:08;BTCUSDT;BUY;34,492.5300000000;0.1181860000BTC;4,076.53415058USDT;0.0093672600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,128.8300000000;0.0554210000BTC;1,836.03288743USDT;0.0044039500BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.3300000000;0.0467400000BTC;1,548.37140420USDT;0.0037139600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,134.8200000000;0.0787500000BTC;2,609.36707500USDT;0.0062588900BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
2021-07-10 20:14:08;BTCUSDT;SELL;33,127.8700000000;0.0042230000BTC;139.89899501USDT;0.0003355600BNB
